t,s
10.660000,106.794
10.670000,93.427
10.680000,97.666
10.690000,84.741
10.700000,74.797
10.710000,61.357
10.720000,73.278
10.730000,77.196
10.740000,95.168
10.750000,131.754
10.760000,161.402
10.770000,200.524
10.780000,245.461
10.790000,274.163
10.800000,321.791
10.810000,324.137
10.820000,336.999
10.830000,318.339
10.840000,279.430
10.850000,238.549
10.860000,203.223
10.870000,138.395
10.880000,88.646
10.890000,40.650
10.900000,4.578
10.910000,-32.474
10.920000,-61.676
10.930000,-87.909
10.940000,-100.353
10.950000,-82.834
10.960000,-48.514
10.970000,-53.365
10.980000,-36.168
10.990000,-23.056
11.000000,-48.510
11.010000,-60.996
11.020000,-113.036
11.030000,-146.842
11.040000,-154.183
11.050000,-178.139
11.060000,-173.125
11.070000,-146.674
11.080000,-135.930
11.090000,-99.062
11.100000,-70.632
11.110000,-34.710
11.120000,-18.564
11.130000,-12.091
11.140000,0.034
11.150000,27.117
11.160000,45.288
11.170000,92.655
11.180000,146.923
11.190000,212.940
11.200000,273.345
11.210000,338.336
11.220000,335.787
11.230000,332.295
11.240000,313.177
11.250000,242.318
11.260000,182.530
11.270000,124.518
11.280000,51.349
11.290000,18.938
11.300000,-39.852
11.310000,-101.568
11.320000,-141.163
11.330000,-167.704
11.340000,-196.945
11.350000,-201.958
11.360000,-235.575
11.370000,-238.479
11.380000,-263.125
11.390000,-254.148
11.400000,-248.014
11.410000,-275.938
11.420000,-318.172
11.430000,-327.637
11.440000,-345.560
11.450000,-374.772
11.460000,-372.168
11.470000,-353.517
11.480000,-332.353
11.490000,-309.148
11.500000,-286.606
11.510000,-260.592
11.520000,-226.847
11.530000,-212.167
11.540000,-183.269
11.550000,-141.444
11.560000,-123.787
11.570000,-106.918
11.580000,-83.640
11.590000,-76.069
11.600000,-93.366
11.610000,-108.428
11.620000,-130.835
11.630000,-154.650
11.640000,-160.954
11.650000,-177.091
11.660000,-211.700
11.670000,-213.713
11.680000,-221.917
11.690000,-250.428
11.700000,-250.895
11.710000,-263.920
11.720000,-259.266
11.730000,-273.726
11.740000,-274.444
11.750000,-283.787
11.760000,-300.702
11.770000,-337.395
11.780000,-340.347
11.790000,-360.076
11.800000,-359.015
11.810000,-380.839
11.820000,-388.002
11.830000,-394.884
11.840000,-381.076
11.850000,-382.931
11.860000,-378.155
11.870000,-357.137
11.880000,-352.863
11.890000,-327.580
11.900000,-295.118
11.910000,-297.565
11.920000,-280.944
11.930000,-259.723
11.940000,-234.231
11.950000,-217.819
11.960000,-202.506
11.970000,-201.537
11.980000,-196.535
11.990000,-218.876
12.000000,-219.079
12.010000,-215.482
12.020000,-228.005
12.030000,-223.096
12.040000,-213.951
12.050000,-201.371
12.060000,-192.995
12.070000,-176.010
12.080000,-156.150
12.090000,-122.074
12.100000,-137.308
12.110000,-134.243
12.120000,-158.504
12.130000,-188.093
12.140000,-207.022
12.150000,-232.448
12.160000,-243.029
12.170000,-244.818
12.180000,-223.400
12.190000,-191.366
12.200000,-169.026
12.210000,-156.086
12.220000,-151.384
12.230000,-146.451
12.240000,-146.825
12.250000,-145.345
12.260000,-204.188
12.270000,-226.505
12.280000,-236.665
12.290000,-254.360
12.300000,-291.201
12.310000,-274.742
12.320000,-271.575
12.330000,-263.327
12.340000,-286.016
12.350000,-295.556
12.360000,-302.310
12.370000,-301.792
12.380000,-315.924
12.390000,-312.829
12.400000,-334.515
12.410000,-333.563
12.420000,-327.991
12.430000,-333.517
12.440000,-341.236
12.450000,-315.924
12.460000,-285.793
12.470000,-271.011
12.480000,-266.350
12.490000,-249.720
12.500000,-230.802
12.510000,-219.886
12.520000,-192.299
12.530000,-174.574
12.540000,-148.683
12.550000,-137.614
12.560000,-108.195
12.570000,-88.434
12.580000,-79.003
12.590000,-68.566
12.600000,-70.662
12.610000,-65.535
12.620000,-57.883
12.630000,-74.300
12.640000,-59.187
12.650000,-64.260
